slug,title,year,closure_level,closure_slope
10-things-i-hate-about-you-1999,10 Things I Hate About You,1999,-1.309397078352394,-13.746892093417127
101-dalmatians-1996,101 Dalmatians,1996,0.9829297368066674,13.205895953382026
12-strong-2018,12 Strong,2018,1.7209664336277002,14.45250519858573
12-years-a-slave-2013,12 Years A Slave,2013,1.4407859497243123,28.212925342920993
127-hours-2010,127 Hours,2010,1.2785822057722864,3.1134950611451804
1408-2007,1408,2007,0.39320266580561947,-4.700563998709247
16-blocks-2006,16 Blocks,2006,0.8473328183967251,-8.122681691292772
1917-2019,1917,2019,0.6179688740744192,10.65467977491976
2-fast-2-furious-2003,2 Fast 2 Furious,2003,0.3462318850887164,-0.23684088193249975
2010-the-year-we-make-contact-1984,2010 The Year We Make Contact,1984,2.0727631406619595,22.59923758359613
20th-century-women-2016,20Th Century Women,2016,-0.3037245029561314,1.1916073116237729
21-jump-street-2012,21 Jump Street,2012,0.8617971593388544,18.566490955436795
213-2009,213,2009,0.07991066661565968,-3.734236702409414
22-july-2018,22 July,2018,0.9370881269549329,20.61092931366601
22-jump-street-2014,22 Jump Street,2014,0.8059940544934867,4.065219282987491
28-days-later-2002,28 Days Later,2002,0.08541887853666891,0.15815665342150959
28-weeks-later-2007,28 Weeks Later,2007,0.4270654883997219,16.142801209793777
300-2006,300,2006,1.3147814525639463,17.733772004926074
48-hrs-1982,48 Hrs,1982,-0.024594230391958016,-8.780023438214279
5-to-7-2014,5 To 7,2014,0.40809562400566585,11.543468541173615
500-days-of-summer-2009,500 Days Of Summer,2009,1.2612903471934267,14.355557607870677
8-bit-christmas-2021,8 Bit Christmas,2021,0.9563468525152594,15.484876406645567
8-mile-2002,8 Mile,2002,1.5911519522068456,23.711765803274414
a-beautiful-day-in-the-neighborhood-2019,A Beautiful Day In The Neighborhood,2019,1.093459140459847,0.1742719222843249
a-beautiful-mind-2001,A Beautiful Mind,2001,1.7067669454219465,14.675361418731875
a-christmas-story-1983,A Christmas Story,1983,0.19879272657448774,-5.149807128845053
a-complete-unknown-2024,A Complete Unknown,2024,1.1243572816363572,27.498345191662903
a-fantastic-woman-2017,A Fantastic Woman,2017,0.4551187933603456,9.055356911400201
a-few-good-men-1992,A Few Good Men,1992,-0.6671536492832717,-0.7570962458626483
a-good-person-2023,A Good Person,2023,1.8740763322174083,23.854107253035625
a-haunting-in-venice-2023,A Haunting In Venice,2023,0.4786493576949836,8.35928631146808
a-hero-2021,A Hero,2021,0.9375828327657807,11.897236315991032
a-hidden-life-2019,A Hidden Life,2019,0.7390761676535829,7.43306139912175
a-history-of-violence-2005,A History Of Violence,2005,0.037844455641736274,11.055967088656505
a-knights-tale-2001,A Knights Tale,2001,-0.8974812252654895,-17.304949004571327
a-league-of-their-own-1992,A League Of Their Own,1992,2.1400147887105136,28.349904004040877
a-man-called-otto-2022,A Man Called Otto,2022,1.0419792280986049,16.157314449338518
a-million-miles-away-2023,A Million Miles Away,2023,0.23266200321487063,-1.8728585608558599
a-monster-calls-2016,A Monster Calls,2016,1.7985700716612605,24.52595900095184
a-most-violent-year-2014,A Most Violent Year,2014,-0.23628286316836236,-9.252816636578558
a-nightmare-on-elm-street-1984,A Nightmare On Elm Street,1984,1.3829927970208178,2.678099358097291
a-nightmare-on-elm-street-3-dream-warriors-1987,A Nightmare On Elm Street 3 Dream Warriors,1987,1.4597762730424373,7.150312435594359
a-nightmare-on-elm-street-the-dream-child-1989,A Nightmare On Elm Street The Dream Child,1989,0.8168476972524005,-4.036123715522782
a-real-pain-2024,A Real Pain,2024,-0.23359804349907026,14.849039377558876
a-separation-2011,A Separation,2011,0.4939574248113351,7.214008606844268
a-serious-man-2009,A Serious Man,2009,0.31311760099125235,-4.358093618842708
a-simple-favor-2018,A Simple Favor,2018,1.0931185351921073,14.8130714337011
a-simple-plan-1998,A Simple Plan,1998,-1.1360750573659248,-23.699223831193134
a-soldiers-story-1984,A Soldiers Story,1984,-0.11632315178680008,15.423042897333614
a-star-is-born-2018,A Star Is Born,2018,0.5932525808028144,6.232391709402497
a-thin-line-between-love-and-hate-1996,A Thin Line Between Love And Hate,1996,-1.5511642451770804,-3.117765132538061
a-time-to-kill-1996,A Time To Kill,1996,-0.310236584753755,-9.266054205573239
a-view-to-a-kill-1985,A View To A Kill,1985,1.7940589146611798,15.52460383595513
about-alex-2014,About Alex,2014,1.774946583589898,11.245093636243983
abraham-lincoln-vampire-hunter-2012,Abraham Lincoln Vampire Hunter,2012,1.1231833410918595,16.67850351947301
ace-ventura-pet-detective-1994,Ace Ventura Pet Detective,1994,1.4419432291196415,11.905020995273738
action-jackson-1988,Action Jackson,1988,1.2349920200340399,16.438445735248205
ad-astra-2019,Ad Astra,2019,1.232718712424318,18.027694980688604
adaptation-2002,Adaptation,2002,0.9704973101392302,2.2731691127189455
addams-family-values-1993,Addams Family Values,1993,1.4407480311444982,21.727210504522567
