film_id,title,year,genre,w01,w02,w03,w04,w05,w06,w07,w08,w09,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,decade,primary_genre,arch_0_weight,arch_1_weight,arch_2_weight,arch_3_weight,arch_4_weight,arch_5_weight,dominant_archetype
tt0147800,10 Things I Hate About You,1999,Comedy|Romance|Drama,1.942839,0.390104,-1.188624,-1.288628,-0.498671,1.100047,1.125605,1.133791,1.137538,0.311412,-0.503128,-0.497875,-0.498044,-1.31008,0.318546,1.122889,0.31353,-0.492456,-1.307012,-1.311782,1990s,Comedy,0.6333345298735293,0.14978761672768626,0.16688175893989446,0.04999609445889,0.0,0.0,0
tt0115433,101 Dalmatians,1996,Family|Comedy,2.028151,0.706284,-1.546824,0.232099,0.246497,-1.086071,-0.646417,-0.23258,1.093123,1.593902,-0.614276,-0.191787,-1.531222,-0.773382,-0.233702,-1.081857,-0.614875,0.687077,0.728792,1.237068,1990s,Family,0.0,0.4548672560888809,0.12481703900791939,0.01604238016215248,0.0,0.4042733247410471,1
tt1413492,12 Strong,2018,War|Drama|Action|History,-0.736619,0.058017,0.874449,-0.806397,0.512855,0.857628,0.450193,-1.66311,-0.799398,-0.420609,-2.082126,-0.441077,0.456875,0.91574,-0.732159,-0.735607,0.026289,0.82312,1.724673,1.71726,2010s,War,0.0,0.0,0.3634701299803406,0.1737664110615996,0.4428850853646562,0.019878373593403696,4
tt2024544,12 Years A Slave,2013,Drama|History,1.445656,0.3986,0.351976,-0.148903,-0.609186,0.897174,0.361569,-0.592393,0.361039,-0.162333,0.883803,-0.692962,-1.789648,-1.255322,0.358205,0.357199,-1.271968,-1.774079,0.903254,1.978317,2010s,Drama,0.0,0.3493104829902688,0.24093809395973267,0.17790561167612226,0.0,0.23184581137387625,1
tt1542344,127 Hours,2010,Adventure|Drama|Thriller,0.495885,1.300174,1.302733,-0.402171,-1.128727,-1.117681,-0.306061,-1.129526,-1.934408,-1.123601,-0.310874,0.477504,-1.119293,0.47933,0.474788,0.487905,1.295401,-0.298543,1.268449,1.288715,2010s,Adventure,0.06668485727875649,0.0,0.0,0.16710231885471424,0.03921119138887361,0.7270016324776557,5
tt0450385,1408,2007,Horror|Mystery,-0.999294,-0.459135,-0.994038,-0.993452,-0.993685,0.079127,-0.934708,-0.996265,-0.485696,1.145987,0.068594,-0.933028,0.131679,0.998674,0.08862,1.695215,1.154325,1.640675,-0.891598,1.678004,2000s,Horror,0.30275472689671185,0.0,0.15291925485538482,0.0,0.3897857819723988,0.15454023627550445,4
tt0450232,16 Blocks,2006,Action|Adventure|Crime|Thriller,-0.882369,-1.025208,-0.021588,0.812221,-0.879388,-0.876852,-1.628067,-0.009711,0.197748,0.831691,-0.709519,0.031325,0.804844,-0.903069,-1.65975,0.840768,1.716329,1.665929,0.840667,0.853999,2000s,Action,0.11370255122781374,0.02093490226614769,0.30635328317832067,0.0,0.29301343162401045,0.26599583170370733,2
tt8579674,1917,2019,War|History|Drama,0.927157,-0.030402,-0.017987,-0.964256,0.96652,-0.967572,0.910578,0.92726,-0.99184,-1.962156,-0.995944,-0.02439,0.130713,1.805433,0.011391,0.954501,-0.00167,-1.913273,0.292809,0.943129,2010s,War,0.31310925757724334,0.0,0.13193985200339436,0.2482700766351082,0.24562392425743224,0.06105688952682189,0
tt0322259,2 Fast 2 Furious,2003,Action|Crime|Thriller,1.887753,-0.425456,-1.242524,-0.432088,-0.440218,1.192804,1.191994,-0.43588,-2.056482,0.379317,0.549359,1.165931,-0.443152,-2.075323,-0.444067,0.218718,0.3346,0.382249,0.438431,0.254033,2000s,Action,0.21307381145404652,0.18147611950305625,0.2589903677187492,0.09594200664352416,0.0,0.2505176946806237,2
tt0086837,2010 The Year We Make Contact,1984,Thriller|Science Fiction,-0.815071,-0.368767,-0.806371,0.103321,0.620078,0.613231,0.601605,0.043996,0.621378,-1.249853,-0.369469,-0.364019,-1.839581,-1.331958,0.536102,-0.367415,-0.367142,0.594409,1.555217,2.590309,1980s,Thriller,0.0,0.07249493073444699,0.7675593133118725,0.0,0.15994575595368057,0.0,2
tt4385888,20Th Century Women,2016,Drama,1.761633,0.037749,-0.874025,-0.835921,-1.693652,0.030195,0.034594,0.89405,0.903993,-1.693241,0.885764,-0.049651,0.027254,1.761923,1.002584,0.044894,0.031721,-1.662413,-0.642775,0.035326,2010s,Drama,0.6236579568463418,0.19084004744661784,0.0,0.0,0.0,0.1855019957070403,0
tt1232829,21 Jump Street,2012,Action|Comedy|Crime,0.744216,-1.414201,0.068023,-0.684546,-1.42192,-0.702298,0.018885,0.009211,-0.019774,0.009276,1.45865,2.174543,0.792072,0.734453,-0.704088,-0.701653,-0.693702,-1.390741,-0.01713,1.740724,2010s,Action,0.06737674209229057,0.4718897130041909,0.0,0.0,0.40309667854116726,0.057636866362351304,1
tt1002561,213,2009,Horror|Thriller|Mystery,0.523918,-0.103706,-0.114866,0.53286,0.520611,-2.057011,-1.409402,-1.388664,-2.049698,1.163847,0.524939,-0.111697,1.139035,1.188437,1.161956,-0.720575,0.490818,0.549376,-0.024992,0.184814,2000s,Horror,0.21599837209328648,0.0,0.0,0.1490271216185266,0.36384520301978424,0.2711293032684027,4
tt7280898,22 July,2018,Crime|Drama|History|Thriller,0.300156,0.832376,-1.506994,-2.037392,0.176541,0.853898,0.313725,0.826906,0.943273,0.29375,-0.343385,-0.291037,-0.237911,-1.476506,-0.293079,0.271111,-1.951337,1.451728,0.880867,0.993309,2010s,Crime,0.09847448732907456,0.39485224468557334,0.4410373452200518,0.0,0.0,0.06563592276530049,2
tt2294449,22 Jump Street,2014,Crime|Comedy|Action,-1.168735,0.423999,-0.395325,-0.369869,1.224024,0.4657,2.1642,1.21529,0.432755,-0.356611,-1.064653,0.425217,-1.969694,-1.17246,-1.17251,-0.378754,0.450796,-0.365357,1.158207,0.453781,2010s,Crime,0.0,0.3001122861760088,0.6844902746830475,0.015397439140943648,0.0,0.0,2
tt0289043,28 Days Later,2002,Horror|Thriller|Science Fiction,-0.209354,0.477993,-0.244863,0.503513,1.207761,1.05131,-0.978127,-0.245203,1.264576,0.508913,0.500852,-0.158705,-1.533553,-1.711715,-1.681648,-0.825478,1.81747,0.497078,-0.935532,0.69471,2000s,Horror,0.0,0.3510354056017271,0.40670985106917085,0.2422547433291021,0.0,0.0,2
tt0463854,28 Weeks Later,2007,Horror|Thriller|Science Fiction,-0.265762,-0.36844,0.574988,2.195004,-0.227199,0.545603,-1.864827,-1.101983,-0.33523,0.547429,-0.999269,0.547353,0.422887,0.553307,1.370905,0.547588,-1.071426,-1.925056,0.353761,0.50037,2000s,Horror,0.10887509001473915,0.0,0.0,0.4376941877274944,0.45343072225776637,0.0,4
tt0416449,300,2006,Action|Adventure|War,-0.479956,-0.546582,-2.325612,1.079296,-0.517224,-0.49908,-0.52764,-0.493879,-0.490459,1.309499,1.176175,1.280432,-0.503829,-0.531759,-0.805958,1.296409,-0.577522,-0.471876,1.310681,1.318882,2000s,Action,0.06554322102379227,0.32716114292737225,0.0386348517622031,0.0,0.45917279758002394,0.10948798670660842,4
tt0083511,48 Hrs,1982,Crime|Action|Comedy,2.309171,2.24318,0.366682,0.273691,0.276839,0.138074,-0.445506,0.263254,-0.428885,-1.743973,-0.407848,-0.481927,-1.678306,-0.404075,-0.405314,-1.025796,0.932607,0.267322,0.362768,-0.411957,1980s,Crime,0.0468009636216741,0.0,0.08769031419606937,0.561403134145473,0.0,0.3041055880367834,3
tt2486678,5 To 7,2014,Comedy|Romance,1.268359,-0.609102,0.275636,0.282811,-0.758574,-0.710178,0.295304,2.279182,0.284254,-1.716146,-0.72222,-0.714419,1.271824,1.281279,0.29049,-1.614198,-0.786964,-0.713528,0.277836,0.538355,2010s,Comedy,0.25106452787971034,0.30336880224154894,0.06278181839562949,0.1773943090763413,0.14424046211922473,0.06115008028754523,1
tt1022603,500 Days Of Summer,2009,Comedy|Drama|Romance,1.18335,0.48304,-0.907912,0.481927,1.8757,0.48832,1.178342,0.490517,-0.20783,-0.899271,-0.903854,-0.276117,-1.613241,-0.921031,-0.916406,-1.610194,-0.23438,-0.213541,1.179707,1.342874,2000s,Comedy,0.0,0.21398312782596435,0.5014278350600804,0.28458903711395533,0.0,0.0,2
tt11540284,8 Bit Christmas,2021,Family|Comedy|Fantasy,1.598534,0.960322,-0.319746,-0.957739,-1.634697,-1.570404,-0.322096,-0.404924,0.305248,0.952761,1.6025,0.966798,-1.5873,-0.243499,-0.32232,-0.304667,-0.943767,0.312303,0.944753,0.967941,2020s,Family,0.04536764678081122,0.4131776382354468,0.0,0.0,0.0,0.5414547149837421,5
tt0298203,8 Mile,2002,Drama|Music,0.165427,0.177073,-0.914846,-0.899118,0.742495,1.290014,0.742296,-0.910172,-1.454856,-0.833535,-1.466962,0.192083,1.289898,0.175647,0.108358,-0.865954,-0.914844,0.194692,0.783027,2.399277,2000s,Drama,0.0,0.0,0.2730423958726221,0.1974916150264566,0.5294659891009212,0.0,4
tt3224458,A Beautiful Day In The Neighborhood,2019,History|Family|Drama,1.067874,-0.74004,-1.317736,-0.723083,-0.695431,-0.124098,-1.331571,-0.713271,1.094031,1.094032,0.488968,-1.320428,-1.928763,-0.132162,0.478193,0.459361,1.07277,1.084437,1.092735,1.094183,2010s,History,0.19835733737650182,0.03326260513725395,0.348329235824123,0.0,0.0,0.4200508216621212,5
tt0268978,A Beautiful Mind,2001,Drama|Romance,0.704706,-0.50683,-0.480428,0.066377,-0.453481,0.233275,0.707455,-1.058852,-2.222715,-1.112692,-1.743581,0.089871,0.691288,0.112472,0.114389,1.220773,0.109004,0.115434,1.876564,1.53697,2000s,Drama,0.0,0.0,0.2973906763614862,0.08546353092020509,0.3269466590480503,0.2901991336702585,4
tt0085334,A Christmas Story,1983,Comedy|Family,2.092925,-0.604463,-1.152504,-0.069564,-0.540537,0.558843,-0.602577,1.000592,1.083032,0.45439,-2.135126,-1.681725,-0.600746,0.988198,0.470747,-0.06046,1.012608,-0.611219,0.468364,-0.070778,1980s,Comedy,0.4297740321276651,0.01720152852190823,0.396539315590508,0.09992902577979107,0.0,0.05655609798012775,0
tt11563598,A Complete Unknown,2024,Drama|Music,0.628169,1.129544,1.123472,0.15021,-0.349902,-1.326407,-0.34301,0.62265,-0.339773,0.14304,1.117473,1.122029,-1.314967,-0.729868,-0.400159,-1.327161,-2.29817,0.144116,1.124515,1.1242,2020s,Drama,0.0,0.5554655706418207,0.0,0.11570729975869301,0.0,0.32882712959948623,1
tt5639354,A Fantastic Woman,2017,Drama,1.834737,-1.527564,-0.328467,0.613101,1.722606,0.85535,-0.449712,-0.558484,-1.36012,0.167431,0.684119,0.619032,0.619774,-0.099995,-1.20372,-0.913449,-0.458464,-0.465133,0.023441,0.455119,2010s,Drama,0.0,0.2632328101049263,0.0,0.42778510269407355,0.3089820872010002,0.0,3
tt0104257,A Few Good Men,1992,Drama,-0.588084,-1.3649,-1.254227,0.490035,1.665691,0.808537,0.818959,-1.378082,-0.519573,1.661876,0.247657,1.499259,1.537362,-0.506725,-0.590102,0.045788,-0.597815,-0.641347,-0.598035,-0.736272,1990s,Drama,0.2686811955639069,0.26731789512702353,0.0,0.15089684971080966,0.31310405959826,0.0,4
tt14153080,A Good Person,2023,Drama|Comedy,1.056063,0.166138,-0.394546,-0.395177,-0.396272,-1.838276,-0.399344,-0.404786,-0.392936,-1.117196,1.022202,1.056636,-1.110616,-0.389957,1.050629,0.331344,-0.473442,-1.118615,1.767148,1.981004,2020s,Drama,0.04375373209173957,0.16347209386176256,0.0,0.0,0.15044683259198552,0.6423273414545122,5
tt22687790,A Haunting In Venice,2023,Mystery|Thriller|Crime,1.471544,1.451334,1.338494,-0.11068,-2.092099,-1.403668,0.722457,-0.720782,-0.684027,-0.009386,0.736026,0.031629,-1.164829,0.702582,0.740196,-0.606508,0.025106,-1.384687,0.041252,0.916047,2020s,Mystery,0.20214751759997404,0.16256870674901716,0.0,0.14995829129454094,0.0,0.48532548435646783,5
tt0142232,A Hero,2021,Adventure|Action|Animation|Science Fiction,0.290623,-1.021723,-0.151051,1.160022,1.604485,1.974605,0.725375,0.286097,-0.142195,0.71223,-0.970969,-0.649973,-1.019983,-1.455666,-1.452218,-1.01196,-0.159007,-0.593858,0.713353,1.161813,2020s,Adventure,0.0,0.2629058820863477,0.4658451314433924,0.2712489864702599,0.0,0.0,2
tt5827916,A Hidden Life,2019,History|Drama|War,1.694822,-0.358891,0.640015,-0.040533,-0.376657,0.689593,0.023418,-1.997012,-2.003795,-0.384984,0.141895,0.274139,1.216492,0.678972,-1.992183,0.058763,0.118877,0.138918,0.15435,1.323802,2010s,History,0.0,0.0,0.0,0.34533825800213164,0.26384499012740414,0.3908167518704642,5
tt0399146,A History Of Violence,2005,Drama|Thriller|Crime,2.483858,1.188421,-0.202803,1.166288,-0.737522,-0.881916,0.470966,0.471984,1.144823,-0.088374,-0.866685,-0.893559,-1.488875,0.42189,0.368252,-0.874959,-0.873902,-0.883576,-0.839439,0.915128,2000s,Drama,0.14362417587774154,0.3142735191470998,0.0,0.345217992979881,0.0,0.19688431199527776,3
tt0183790,A Knights Tale,2001,Adventure|Drama|Romance|Action,-2.299772,-1.495703,-0.127159,0.075441,0.059172,0.868775,0.086538,0.056274,-0.761015,0.970815,0.019456,0.041903,0.058689,0.046024,1.780765,1.671413,0.865054,-0.121708,0.055144,-1.850106,2000s,Adventure,0.6604227001526666,0.0,0.09898783399688534,0.0,0.24058946585044805,0.0,0
tt0104694,A League Of Their Own,1992,Comedy|Drama,0.727172,-0.263884,-0.208305,-0.216683,1.20208,-0.201375,-0.684285,-0.627392,-0.214021,-0.680545,-1.12286,1.192105,0.254604,-1.625717,-0.689863,-0.217753,-1.1497,0.246391,2.140634,2.139395,1990s,Comedy,0.0,0.1425134395120499,0.22270853371451693,0.12722093975246015,0.21287800186097292,0.2946790851600002,5
tt7405458,A Man Called Otto,2022,Comedy|Drama,-0.413907,-1.475215,-0.937916,1.184847,0.130651,-2.000296,-1.469497,-0.405735,0.647991,0.634538,-0.930462,0.059677,1.703958,0.656892,0.655819,0.676576,-0.935214,0.133337,1.19696,0.886998,2020s,Comedy,0.2042380935111886,0.07346589029949094,0.0,0.005322328300165347,0.6279510572788398,0.08902263061031543,4
tt21940010,A Million Miles Away,2023,Drama|History,1.844045,1.105746,-0.95366,-1.647701,-0.955751,0.45479,-0.238533,-0.961554,-0.99031,-0.231224,1.174237,-1.634388,-0.250483,1.876699,-0.22427,0.465611,0.46876,0.464773,-0.238109,0.471322,2020s,Drama,0.39280599373507213,0.0,0.0,0.08109600449810289,0.0,0.526098001766825,5
tt3416532,A Monster Calls,2016,Fantasy|Adventure|Family,2.12126,0.529638,0.325084,-0.612503,-0.623058,0.316783,-1.537561,0.225854,0.318899,0.304379,-0.507116,-0.560118,-1.51442,-0.611278,0.092936,-0.638345,-0.605525,-0.62205,1.180736,2.416404,2010s,Fantasy,0.0,0.26664098994063695,0.13361285645933116,0.09751522368984793,0.0,0.5022309299101839,5
tt2937898,A Most Violent Year,2014,Crime|Drama|Thriller,2.548533,0.074282,0.676145,0.699517,0.816442,-0.552768,-1.78734,-0.550841,0.06212,-0.567245,-1.169133,1.248933,-1.184443,-1.048232,0.071454,1.299971,0.071454,0.085552,-0.006172,-0.788229,2010s,Crime,0.22851818717770514,0.0,0.0,0.4732433216895992,0.0,0.29823849113269574,3
tt0087800,A Nightmare On Elm Street,1984,Horror,-0.740791,-1.529704,0.031237,0.05045,-0.75541,-0.695887,-0.225171,1.019991,-0.00425,-2.291535,0.75622,0.194826,-0.757201,0.888919,0.084762,0.040415,1.744971,-0.577829,0.871009,1.894976,1980s,Horror,0.11759672283021427,0.0,0.3705596317047173,0.0,0.4883201424172281,0.02352350304784035,4
tt0093629,A Nightmare On Elm Street 3 Dream Warriors,1987,Horror|Thriller|Fantasy,0.639045,0.153588,1.340602,0.785658,-0.433103,0.144346,-1.657868,-1.061488,-0.631867,-0.434933,-0.445033,-1.653806,-0.457991,-0.446011,-0.452029,-0.449483,0.166884,1.973936,1.982797,0.936755,1980s,Horror,0.0,0.0,0.2559332594664938,0.24629918780568485,0.0,0.49776755272782136,5
